# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
73 		dif_73	-5.0000       	-0.1000       	3.3000e+00    	-3.0000       
74 		dif_74	-5.0000       	-0.1000       	4.1000e+00    	-3.0000       
75 		dif_75	-5.0000       	-0.1000       	4.9000e+00    	-3.0000       
76 		dif_76	-5.0000       	-0.1000       	5.7000e+00    	-3.0000       
77 		dif_77	-5.0000       	-0.1000       	6.5000e+00    	-3.0000       
78 		dif_78	-5.0000       	-0.1000       	2.5000e+00    	-2.4000       
79 		dif_79	-5.0000       	-0.1000       	3.3000e+00    	-2.4000       
80 		dif_80	-5.0000       	-0.1000       	4.1000e+00    	-2.4000       
81 		dif_81	-5.0000       	-0.1000       	4.9000e+00    	-2.4000       
82 		dif_82	-5.0000       	-0.1000       	5.7000e+00    	-2.4000       
83 		dif_83	-5.0000       	-0.1000       	6.5000e+00    	-2.4000       
84 		dif_84	-5.0000       	-0.1000       	2.5000e+00    	-1.8000       
85 		dif_85	-5.0000       	-0.1000       	3.3000e+00    	-1.8000       
86 		dif_86	-5.0000       	-0.1000       	4.1000e+00    	-1.8000       
87 		dif_87	-5.0000       	-0.1000       	4.9000e+00    	-1.8000       
88 		dif_88	-5.0000       	-0.1000       	5.7000e+00    	-1.8000       
89 		dif_89	-5.0000       	-0.1000       	6.5000e+00    	-1.8000       
90 		dif_90	-5.0000       	-0.1000       	2.5000e+00    	-1.2000       
91 		dif_91	-5.0000       	-0.1000       	3.3000e+00    	-1.2000       
92 		dif_92	-5.0000       	-0.1000       	4.1000e+00    	-1.2000       
93 		dif_93	-5.0000       	-0.1000       	4.9000e+00    	-1.2000       
94 		dif_94	-5.0000       	-0.1000       	5.7000e+00    	-1.2000       
95 		dif_95	-5.0000       	-0.1000       	6.5000e+00    	-1.2000       
96 		dif_96	-5.0000       	-0.1000       	2.5000e+00    	-0.6000       
97 		dif_97	-5.0000       	-0.1000       	3.3000e+00    	-0.6000       
98 		dif_98	-5.0000       	-0.1000       	4.1000e+00    	-0.6000       
99 		dif_99	-5.0000       	-0.1000       	4.9000e+00    	-0.6000       
100		dif_100	-5.0000       	-0.1000       	5.7000e+00    	-0.6000       
101		dif_101	-5.0000       	-0.1000       	6.5000e+00    	-0.6000       
102		dif_102	-5.0000       	-0.1000       	2.5000e+00    	0.0000        
103		dif_103	-5.0000       	-0.1000       	3.3000e+00    	0.0000        
104		dif_104	-5.0000       	-0.1000       	4.1000e+00    	0.0000        
105		dif_105	-5.0000       	-0.1000       	4.9000e+00    	0.0000        
106		dif_106	-5.0000       	-0.1000       	5.7000e+00    	0.0000        
107		dif_107	-5.0000       	-0.1000       	6.5000e+00    	0.0000        
108		dif_108	-5.0000       	0.2000        	2.5000e+00    	-3.0000       
109		dif_109	-5.0000       	0.2000        	3.3000e+00    	-3.0000       
110		dif_110	-5.0000       	0.2000        	4.1000e+00    	-3.0000       
111		dif_111	-5.0000       	0.2000        	4.9000e+00    	-3.0000       
112		dif_112	-5.0000       	0.2000        	5.7000e+00    	-3.0000       
113		dif_113	-5.0000       	0.2000        	6.5000e+00    	-3.0000       
114		dif_114	-5.0000       	0.2000        	2.5000e+00    	-2.4000       
115		dif_115	-5.0000       	0.2000        	3.3000e+00    	-2.4000       
116		dif_116	-5.0000       	0.2000        	4.1000e+00    	-2.4000       
117		dif_117	-5.0000       	0.2000        	4.9000e+00    	-2.4000       
118		dif_118	-5.0000       	0.2000        	5.7000e+00    	-2.4000       
119		dif_119	-5.0000       	0.2000        	6.5000e+00    	-2.4000       
120		dif_120	-5.0000       	0.2000        	2.5000e+00    	-1.8000       
121		dif_121	-5.0000       	0.2000        	3.3000e+00    	-1.8000       
122		dif_122	-5.0000       	0.2000        	4.1000e+00    	-1.8000       
123		dif_123	-5.0000       	0.2000        	4.9000e+00    	-1.8000       
124		dif_124	-5.0000       	0.2000        	5.7000e+00    	-1.8000       
125		dif_125	-5.0000       	0.2000        	6.5000e+00    	-1.8000       
126		dif_126	-5.0000       	0.2000        	2.5000e+00    	-1.2000       
127		dif_127	-5.0000       	0.2000        	3.3000e+00    	-1.2000       
128		dif_128	-5.0000       	0.2000        	4.1000e+00    	-1.2000       
129		dif_129	-5.0000       	0.2000        	4.9000e+00    	-1.2000       
130		dif_130	-5.0000       	0.2000        	5.7000e+00    	-1.2000       
