# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
376		dif_376	-4.0600       	0.5000        	5.7000e+00    	-1.8000       
377		dif_377	-4.0600       	0.5000        	6.5000e+00    	-1.8000       
378		dif_378	-4.0600       	0.5000        	2.5000e+00    	-1.2000       
379		dif_379	-4.0600       	0.5000        	3.3000e+00    	-1.2000       
380		dif_380	-4.0600       	0.5000        	4.1000e+00    	-1.2000       
381		dif_381	-4.0600       	0.5000        	4.9000e+00    	-1.2000       
382		dif_382	-4.0600       	0.5000        	5.7000e+00    	-1.2000       
383		dif_383	-4.0600       	0.5000        	6.5000e+00    	-1.2000       
384		dif_384	-4.0600       	0.5000        	2.5000e+00    	-0.6000       
385		dif_385	-4.0600       	0.5000        	3.3000e+00    	-0.6000       
386		dif_386	-4.0600       	0.5000        	4.1000e+00    	-0.6000       
387		dif_387	-4.0600       	0.5000        	4.9000e+00    	-0.6000       
388		dif_388	-4.0600       	0.5000        	5.7000e+00    	-0.6000       
389		dif_389	-4.0600       	0.5000        	6.5000e+00    	-0.6000       
390		dif_390	-4.0600       	0.5000        	2.5000e+00    	0.0000        
391		dif_391	-4.0600       	0.5000        	3.3000e+00    	0.0000        
392		dif_392	-4.0600       	0.5000        	4.1000e+00    	0.0000        
393		dif_393	-4.0600       	0.5000        	4.9000e+00    	0.0000        
394		dif_394	-4.0600       	0.5000        	5.7000e+00    	0.0000        
395		dif_395	-4.0600       	0.5000        	6.5000e+00    	0.0000        
396		dif_396	-4.0600       	0.8000        	2.5000e+00    	-3.0000       
397		dif_397	-4.0600       	0.8000        	3.3000e+00    	-3.0000       
398		dif_398	-4.0600       	0.8000        	4.1000e+00    	-3.0000       
399		dif_399	-4.0600       	0.8000        	4.9000e+00    	-3.0000       
400		dif_400	-4.0600       	0.8000        	5.7000e+00    	-3.0000       
401		dif_401	-4.0600       	0.8000        	6.5000e+00    	-3.0000       
402		dif_402	-4.0600       	0.8000        	2.5000e+00    	-2.4000       
403		dif_403	-4.0600       	0.8000        	3.3000e+00    	-2.4000       
404		dif_404	-4.0600       	0.8000        	4.1000e+00    	-2.4000       
405		dif_405	-4.0600       	0.8000        	4.9000e+00    	-2.4000       
406		dif_406	-4.0600       	0.8000        	5.7000e+00    	-2.4000       
407		dif_407	-4.0600       	0.8000        	6.5000e+00    	-2.4000       
408		dif_408	-4.0600       	0.8000        	2.5000e+00    	-1.8000       
409		dif_409	-4.0600       	0.8000        	3.3000e+00    	-1.8000       
410		dif_410	-4.0600       	0.8000        	4.1000e+00    	-1.8000       
411		dif_411	-4.0600       	0.8000        	4.9000e+00    	-1.8000       
412		dif_412	-4.0600       	0.8000        	5.7000e+00    	-1.8000       
413		dif_413	-4.0600       	0.8000        	6.5000e+00    	-1.8000       
414		dif_414	-4.0600       	0.8000        	2.5000e+00    	-1.2000       
415		dif_415	-4.0600       	0.8000        	3.3000e+00    	-1.2000       
416		dif_416	-4.0600       	0.8000        	4.1000e+00    	-1.2000       
417		dif_417	-4.0600       	0.8000        	4.9000e+00    	-1.2000       
418		dif_418	-4.0600       	0.8000        	5.7000e+00    	-1.2000       
419		dif_419	-4.0600       	0.8000        	6.5000e+00    	-1.2000       
420		dif_420	-4.0600       	0.8000        	2.5000e+00    	-0.6000       
421		dif_421	-4.0600       	0.8000        	3.3000e+00    	-0.6000       
422		dif_422	-4.0600       	0.8000        	4.1000e+00    	-0.6000       
423		dif_423	-4.0600       	0.8000        	4.9000e+00    	-0.6000       
424		dif_424	-4.0600       	0.8000        	5.7000e+00    	-0.6000       
425		dif_425	-4.0600       	0.8000        	6.5000e+00    	-0.6000       
426		dif_426	-4.0600       	0.8000        	2.5000e+00    	0.0000        
427		dif_427	-4.0600       	0.8000        	3.3000e+00    	0.0000        
428		dif_428	-4.0600       	0.8000        	4.1000e+00    	0.0000        
429		dif_429	-4.0600       	0.8000        	4.9000e+00    	0.0000        
430		dif_430	-4.0600       	0.8000        	5.7000e+00    	0.0000        
431		dif_431	-4.0600       	0.8000        	6.5000e+00    	0.0000        
432		dif_432	-3.1200       	-0.7000       	2.5000e+00    	-3.0000       
433		dif_433	-3.1200       	-0.7000       	3.3000e+00    	-3.0000       
434		dif_434	-3.1200       	-0.7000       	4.1000e+00    	-3.0000       
435		dif_435	-3.1200       	-0.7000       	4.9000e+00    	-3.0000       
436		dif_436	-3.1200       	-0.7000       	5.7000e+00    	-3.0000       
437		dif_437	-3.1200       	-0.7000       	6.5000e+00    	-3.0000       
438		dif_438	-3.1200       	-0.7000       	2.5000e+00    	-2.4000       
439		dif_439	-3.1200       	-0.7000       	3.3000e+00    	-2.4000       
440		dif_440	-3.1200       	-0.7000       	4.1000e+00    	-2.4000       
441		dif_441	-3.1200       	-0.7000       	4.9000e+00    	-2.4000       
442		dif_442	-3.1200       	-0.7000       	5.7000e+00    	-2.4000       
443		dif_443	-3.1200       	-0.7000       	6.5000e+00    	-2.4000       
444		dif_444	-3.1200       	-0.7000       	2.5000e+00    	-1.8000       
445		dif_445	-3.1200       	-0.7000       	3.3000e+00    	-1.8000       
446		dif_446	-3.1200       	-0.7000       	4.1000e+00    	-1.8000       
447		dif_447	-3.1200       	-0.7000       	4.9000e+00    	-1.8000       
448		dif_448	-3.1200       	-0.7000       	5.7000e+00    	-1.8000       
449		dif_449	-3.1200       	-0.7000       	6.5000e+00    	-1.8000       
450		dif_450	-3.1200       	-0.7000       	2.5000e+00    	-1.2000       
451		dif_451	-3.1200       	-0.7000       	3.3000e+00    	-1.2000       
452		dif_452	-3.1200       	-0.7000       	4.1000e+00    	-1.2000       
453		dif_453	-3.1200       	-0.7000       	4.9000e+00    	-1.2000       
454		dif_454	-3.1200       	-0.7000       	5.7000e+00    	-1.2000       
455		dif_455	-3.1200       	-0.7000       	6.5000e+00    	-1.2000       
456		dif_456	-3.1200       	-0.7000       	2.5000e+00    	-0.6000       
457		dif_457	-3.1200       	-0.7000       	3.3000e+00    	-0.6000       
458		dif_458	-3.1200       	-0.7000       	4.1000e+00    	-0.6000       
459		dif_459	-3.1200       	-0.7000       	4.9000e+00    	-0.6000       
460		dif_460	-3.1200       	-0.7000       	5.7000e+00    	-0.6000       
461		dif_461	-3.1200       	-0.7000       	6.5000e+00    	-0.6000       
462		dif_462	-3.1200       	-0.7000       	2.5000e+00    	0.0000        
463		dif_463	-3.1200       	-0.7000       	3.3000e+00    	0.0000        
464		dif_464	-3.1200       	-0.7000       	4.1000e+00    	0.0000        
465		dif_465	-3.1200       	-0.7000       	4.9000e+00    	0.0000        
466		dif_466	-3.1200       	-0.7000       	5.7000e+00    	0.0000        
467		dif_467	-3.1200       	-0.7000       	6.5000e+00    	0.0000        
468		dif_468	-3.1200       	-0.4000       	2.5000e+00    	-3.0000       
469		dif_469	-3.1200       	-0.4000       	3.3000e+00    	-3.0000       
470		dif_470	-3.1200       	-0.4000       	4.1000e+00    	-3.0000       
471		dif_471	-3.1200       	-0.4000       	4.9000e+00    	-3.0000       
472		dif_472	-3.1200       	-0.4000       	5.7000e+00    	-3.0000       
473		dif_473	-3.1200       	-0.4000       	6.5000e+00    	-3.0000       
474		dif_474	-3.1200       	-0.4000       	2.5000e+00    	-2.4000       
475		dif_475	-3.1200       	-0.4000       	3.3000e+00    	-2.4000       
476		dif_476	-3.1200       	-0.4000       	4.1000e+00    	-2.4000       
477		dif_477	-3.1200       	-0.4000       	4.9000e+00    	-2.4000       
478		dif_478	-3.1200       	-0.4000       	5.7000e+00    	-2.4000       
479		dif_479	-3.1200       	-0.4000       	6.5000e+00    	-2.4000       
480		dif_480	-3.1200       	-0.4000       	2.5000e+00    	-1.8000       
481		dif_481	-3.1200       	-0.4000       	3.3000e+00    	-1.8000       
482		dif_482	-3.1200       	-0.4000       	4.1000e+00    	-1.8000       
483		dif_483	-3.1200       	-0.4000       	4.9000e+00    	-1.8000       
484		dif_484	-3.1200       	-0.4000       	5.7000e+00    	-1.8000       
485		dif_485	-3.1200       	-0.4000       	6.5000e+00    	-1.8000       
486		dif_486	-3.1200       	-0.4000       	2.5000e+00    	-1.2000       
487		dif_487	-3.1200       	-0.4000       	3.3000e+00    	-1.2000       
488		dif_488	-3.1200       	-0.4000       	4.1000e+00    	-1.2000       
489		dif_489	-3.1200       	-0.4000       	4.9000e+00    	-1.2000       
490		dif_490	-3.1200       	-0.4000       	5.7000e+00    	-1.2000       
491		dif_491	-3.1200       	-0.4000       	6.5000e+00    	-1.2000       
492		dif_492	-3.1200       	-0.4000       	2.5000e+00    	-0.6000       
493		dif_493	-3.1200       	-0.4000       	3.3000e+00    	-0.6000       
494		dif_494	-3.1200       	-0.4000       	4.1000e+00    	-0.6000       
495		dif_495	-3.1200       	-0.4000       	4.9000e+00    	-0.6000       
496		dif_496	-3.1200       	-0.4000       	5.7000e+00    	-0.6000       
497		dif_497	-3.1200       	-0.4000       	6.5000e+00    	-0.6000       
498		dif_498	-3.1200       	-0.4000       	2.5000e+00    	0.0000        
499		dif_499	-3.1200       	-0.4000       	3.3000e+00    	0.0000        
500		dif_500	-3.1200       	-0.4000       	4.1000e+00    	0.0000        
501		dif_501	-3.1200       	-0.4000       	4.9000e+00    	0.0000        
502		dif_502	-3.1200       	-0.4000       	5.7000e+00    	0.0000        
503		dif_503	-3.1200       	-0.4000       	6.5000e+00    	0.0000        
504		dif_504	-3.1200       	-0.1000       	2.5000e+00    	-3.0000       
505		dif_505	-3.1200       	-0.1000       	3.3000e+00    	-3.0000       
506		dif_506	-3.1200       	-0.1000       	4.1000e+00    	-3.0000       
507		dif_507	-3.1200       	-0.1000       	4.9000e+00    	-3.0000       
508		dif_508	-3.1200       	-0.1000       	5.7000e+00    	-3.0000       
509		dif_509	-3.1200       	-0.1000       	6.5000e+00    	-3.0000       
510		dif_510	-3.1200       	-0.1000       	2.5000e+00    	-2.4000       
511		dif_511	-3.1200       	-0.1000       	3.3000e+00    	-2.4000       
512		dif_512	-3.1200       	-0.1000       	4.1000e+00    	-2.4000       
513		dif_513	-3.1200       	-0.1000       	4.9000e+00    	-2.4000       
514		dif_514	-3.1200       	-0.1000       	5.7000e+00    	-2.4000       
515		dif_515	-3.1200       	-0.1000       	6.5000e+00    	-2.4000       
516		dif_516	-3.1200       	-0.1000       	2.5000e+00    	-1.8000       
517		dif_517	-3.1200       	-0.1000       	3.3000e+00    	-1.8000       
518		dif_518	-3.1200       	-0.1000       	4.1000e+00    	-1.8000       
519		dif_519	-3.1200       	-0.1000       	4.9000e+00    	-1.8000       
520		dif_520	-3.1200       	-0.1000       	5.7000e+00    	-1.8000       
521		dif_521	-3.1200       	-0.1000       	6.5000e+00    	-1.8000       
522		dif_522	-3.1200       	-0.1000       	2.5000e+00    	-1.2000       
523		dif_523	-3.1200       	-0.1000       	3.3000e+00    	-1.2000       
524		dif_524	-3.1200       	-0.1000       	4.1000e+00    	-1.2000       
525		dif_525	-3.1200       	-0.1000       	4.9000e+00    	-1.2000       
526		dif_526	-3.1200       	-0.1000       	5.7000e+00    	-1.2000       
527		dif_527	-3.1200       	-0.1000       	6.5000e+00    	-1.2000       
528		dif_528	-3.1200       	-0.1000       	2.5000e+00    	-0.6000       
529		dif_529	-3.1200       	-0.1000       	3.3000e+00    	-0.6000       
530		dif_530	-3.1200       	-0.1000       	4.1000e+00    	-0.6000       
531		dif_531	-3.1200       	-0.1000       	4.9000e+00    	-0.6000       
532		dif_532	-3.1200       	-0.1000       	5.7000e+00    	-0.6000       
533		dif_533	-3.1200       	-0.1000       	6.5000e+00    	-0.6000       
534		dif_534	-3.1200       	-0.1000       	2.5000e+00    	0.0000        
535		dif_535	-3.1200       	-0.1000       	3.3000e+00    	0.0000        
536		dif_536	-3.1200       	-0.1000       	4.1000e+00    	0.0000        
537		dif_537	-3.1200       	-0.1000       	4.9000e+00    	0.0000        
538		dif_538	-3.1200       	-0.1000       	5.7000e+00    	0.0000        
539		dif_539	-3.1200       	-0.1000       	6.5000e+00    	0.0000        
540		dif_540	-3.1200       	0.2000        	2.5000e+00    	-3.0000       
541		dif_541	-3.1200       	0.2000        	3.3000e+00    	-3.0000       
542		dif_542	-3.1200       	0.2000        	4.1000e+00    	-3.0000       
543		dif_543	-3.1200       	0.2000        	4.9000e+00    	-3.0000       
544		dif_544	-3.1200       	0.2000        	5.7000e+00    	-3.0000       
545		dif_545	-3.1200       	0.2000        	6.5000e+00    	-3.0000       
546		dif_546	-3.1200       	0.2000        	2.5000e+00    	-2.4000       
547		dif_547	-3.1200       	0.2000        	3.3000e+00    	-2.4000       
548		dif_548	-3.1200       	0.2000        	4.1000e+00    	-2.4000       
549		dif_549	-3.1200       	0.2000        	4.9000e+00    	-2.4000       
550		dif_550	-3.1200       	0.2000        	5.7000e+00    	-2.4000       
551		dif_551	-3.1200       	0.2000        	6.5000e+00    	-2.4000       
552		dif_552	-3.1200       	0.2000        	2.5000e+00    	-1.8000       
553		dif_553	-3.1200       	0.2000        	3.3000e+00    	-1.8000       
554		dif_554	-3.1200       	0.2000        	4.1000e+00    	-1.8000       
555		dif_555	-3.1200       	0.2000        	4.9000e+00    	-1.8000       
556		dif_556	-3.1200       	0.2000        	5.7000e+00    	-1.8000       
557		dif_557	-3.1200       	0.2000        	6.5000e+00    	-1.8000       
558		dif_558	-3.1200       	0.2000        	2.5000e+00    	-1.2000       
559		dif_559	-3.1200       	0.2000        	3.3000e+00    	-1.2000       
560		dif_560	-3.1200       	0.2000        	4.1000e+00    	-1.2000       
561		dif_561	-3.1200       	0.2000        	4.9000e+00    	-1.2000       
562		dif_562	-3.1200       	0.2000        	5.7000e+00    	-1.2000       
563		dif_563	-3.1200       	0.2000        	6.5000e+00    	-1.2000       
564		dif_564	-3.1200       	0.2000        	2.5000e+00    	-0.6000       
565		dif_565	-3.1200       	0.2000        	3.3000e+00    	-0.6000       
566		dif_566	-3.1200       	0.2000        	4.1000e+00    	-0.6000       
567		dif_567	-3.1200       	0.2000        	4.9000e+00    	-0.6000       
568		dif_568	-3.1200       	0.2000        	5.7000e+00    	-0.6000       
569		dif_569	-3.1200       	0.2000        	6.5000e+00    	-0.6000       
570		dif_570	-3.1200       	0.2000        	2.5000e+00    	0.0000        
571		dif_571	-3.1200       	0.2000        	3.3000e+00    	0.0000        
572		dif_572	-3.1200       	0.2000        	4.1000e+00    	0.0000        
573		dif_573	-3.1200       	0.2000        	4.9000e+00    	0.0000        
574		dif_574	-3.1200       	0.2000        	5.7000e+00    	0.0000        
575		dif_575	-3.1200       	0.2000        	6.5000e+00    	0.0000        
576		dif_576	-3.1200       	0.5000        	2.5000e+00    	-3.0000       
577		dif_577	-3.1200       	0.5000        	3.3000e+00    	-3.0000       
578		dif_578	-3.1200       	0.5000        	4.1000e+00    	-3.0000       
579		dif_579	-3.1200       	0.5000        	4.9000e+00    	-3.0000       
580		dif_580	-3.1200       	0.5000        	5.7000e+00    	-3.0000       
581		dif_581	-3.1200       	0.5000        	6.5000e+00    	-3.0000       
582		dif_582	-3.1200       	0.5000        	2.5000e+00    	-2.4000       
583		dif_583	-3.1200       	0.5000        	3.3000e+00    	-2.4000       
584		dif_584	-3.1200       	0.5000        	4.1000e+00    	-2.4000       
585		dif_585	-3.1200       	0.5000        	4.9000e+00    	-2.4000       
586		dif_586	-3.1200       	0.5000        	5.7000e+00    	-2.4000       
587		dif_587	-3.1200       	0.5000        	6.5000e+00    	-2.4000       
588		dif_588	-3.1200       	0.5000        	2.5000e+00    	-1.8000       
589		dif_589	-3.1200       	0.5000        	3.3000e+00    	-1.8000       
590		dif_590	-3.1200       	0.5000        	4.1000e+00    	-1.8000       
591		dif_591	-3.1200       	0.5000        	4.9000e+00    	-1.8000       
592		dif_592	-3.1200       	0.5000        	5.7000e+00    	-1.8000       
593		dif_593	-3.1200       	0.5000        	6.5000e+00    	-1.8000       
594		dif_594	-3.1200       	0.5000        	2.5000e+00    	-1.2000       
595		dif_595	-3.1200       	0.5000        	3.3000e+00    	-1.2000       
596		dif_596	-3.1200       	0.5000        	4.1000e+00    	-1.2000       
597		dif_597	-3.1200       	0.5000        	4.9000e+00    	-1.2000       
598		dif_598	-3.1200       	0.5000        	5.7000e+00    	-1.2000       
599		dif_599	-3.1200       	0.5000        	6.5000e+00    	-1.2000       
600		dif_600	-3.1200       	0.5000        	2.5000e+00    	-0.6000       
601		dif_601	-3.1200       	0.5000        	3.3000e+00    	-0.6000       
602		dif_602	-3.1200       	0.5000        	4.1000e+00    	-0.6000       
603		dif_603	-3.1200       	0.5000        	4.9000e+00    	-0.6000       
604		dif_604	-3.1200       	0.5000        	5.7000e+00    	-0.6000       
605		dif_605	-3.1200       	0.5000        	6.5000e+00    	-0.6000       
606		dif_606	-3.1200       	0.5000        	2.5000e+00    	0.0000        
607		dif_607	-3.1200       	0.5000        	3.3000e+00    	0.0000        
608		dif_608	-3.1200       	0.5000        	4.1000e+00    	0.0000        
609		dif_609	-3.1200       	0.5000        	4.9000e+00    	0.0000        
610		dif_610	-3.1200       	0.5000        	5.7000e+00    	0.0000        
611		dif_611	-3.1200       	0.5000        	6.5000e+00    	0.0000        
612		dif_612	-3.1200       	0.8000        	2.5000e+00    	-3.0000       
613		dif_613	-3.1200       	0.8000        	3.3000e+00    	-3.0000       
614		dif_614	-3.1200       	0.8000        	4.1000e+00    	-3.0000       
615		dif_615	-3.1200       	0.8000        	4.9000e+00    	-3.0000       
616		dif_616	-3.1200       	0.8000        	5.7000e+00    	-3.0000       
617		dif_617	-3.1200       	0.8000        	6.5000e+00    	-3.0000       
618		dif_618	-3.1200       	0.8000        	2.5000e+00    	-2.4000       
619		dif_619	-3.1200       	0.8000        	3.3000e+00    	-2.4000       
620		dif_620	-3.1200       	0.8000        	4.1000e+00    	-2.4000       
621		dif_621	-3.1200       	0.8000        	4.9000e+00    	-2.4000       
622		dif_622	-3.1200       	0.8000        	5.7000e+00    	-2.4000       
623		dif_623	-3.1200       	0.8000        	6.5000e+00    	-2.4000       
624		dif_624	-3.1200       	0.8000        	2.5000e+00    	-1.8000       
625		dif_625	-3.1200       	0.8000        	3.3000e+00    	-1.8000       
626		dif_626	-3.1200       	0.8000        	4.1000e+00    	-1.8000       
627		dif_627	-3.1200       	0.8000        	4.9000e+00    	-1.8000       
628		dif_628	-3.1200       	0.8000        	5.7000e+00    	-1.8000       
629		dif_629	-3.1200       	0.8000        	6.5000e+00    	-1.8000       
630		dif_630	-3.1200       	0.8000        	2.5000e+00    	-1.2000       
631		dif_631	-3.1200       	0.8000        	3.3000e+00    	-1.2000       
632		dif_632	-3.1200       	0.8000        	4.1000e+00    	-1.2000       
633		dif_633	-3.1200       	0.8000        	4.9000e+00    	-1.2000       
634		dif_634	-3.1200       	0.8000        	5.7000e+00    	-1.2000       
635		dif_635	-3.1200       	0.8000        	6.5000e+00    	-1.2000       
636		dif_636	-3.1200       	0.8000        	2.5000e+00    	-0.6000       
637		dif_637	-3.1200       	0.8000        	3.3000e+00    	-0.6000       
638		dif_638	-3.1200       	0.8000        	4.1000e+00    	-0.6000       
639		dif_639	-3.1200       	0.8000        	4.9000e+00    	-0.6000       
640		dif_640	-3.1200       	0.8000        	5.7000e+00    	-0.6000       
641		dif_641	-3.1200       	0.8000        	6.5000e+00    	-0.6000       
642		dif_642	-3.1200       	0.8000        	2.5000e+00    	0.0000        
643		dif_643	-3.1200       	0.8000        	3.3000e+00    	0.0000        
644		dif_644	-3.1200       	0.8000        	4.1000e+00    	0.0000        
645		dif_645	-3.1200       	0.8000        	4.9000e+00    	0.0000        
646		dif_646	-3.1200       	0.8000        	5.7000e+00    	0.0000        
647		dif_647	-3.1200       	0.8000        	6.5000e+00    	0.0000        
648		dif_648	-2.1800       	-0.7000       	2.5000e+00    	-3.0000       
649		dif_649	-2.1800       	-0.7000       	3.3000e+00    	-3.0000       
650		dif_650	-2.1800       	-0.7000       	4.1000e+00    	-3.0000       
651		dif_651	-2.1800       	-0.7000       	4.9000e+00    	-3.0000       
652		dif_652	-2.1800       	-0.7000       	5.7000e+00    	-3.0000       
653		dif_653	-2.1800       	-0.7000       	6.5000e+00    	-3.0000       
654		dif_654	-2.1800       	-0.7000       	2.5000e+00    	-2.4000       
655		dif_655	-2.1800       	-0.7000       	3.3000e+00    	-2.4000       
656		dif_656	-2.1800       	-0.7000       	4.1000e+00    	-2.4000       
657		dif_657	-2.1800       	-0.7000       	4.9000e+00    	-2.4000       
658		dif_658	-2.1800       	-0.7000       	5.7000e+00    	-2.4000       
659		dif_659	-2.1800       	-0.7000       	6.5000e+00    	-2.4000       
660		dif_660	-2.1800       	-0.7000       	2.5000e+00    	-1.8000       
661		dif_661	-2.1800       	-0.7000       	3.3000e+00    	-1.8000       
662		dif_662	-2.1800       	-0.7000       	4.1000e+00    	-1.8000       
663		dif_663	-2.1800       	-0.7000       	4.9000e+00    	-1.8000       
664		dif_664	-2.1800       	-0.7000       	5.7000e+00    	-1.8000       
665		dif_665	-2.1800       	-0.7000       	6.5000e+00    	-1.8000       
666		dif_666	-2.1800       	-0.7000       	2.5000e+00    	-1.2000       
667		dif_667	-2.1800       	-0.7000       	3.3000e+00    	-1.2000       
668		dif_668	-2.1800       	-0.7000       	4.1000e+00    	-1.2000       
669		dif_669	-2.1800       	-0.7000       	4.9000e+00    	-1.2000       
670		dif_670	-2.1800       	-0.7000       	5.7000e+00    	-1.2000       
671		dif_671	-2.1800       	-0.7000       	6.5000e+00    	-1.2000       
672		dif_672	-2.1800       	-0.7000       	2.5000e+00    	-0.6000       
673		dif_673	-2.1800       	-0.7000       	3.3000e+00    	-0.6000       
674		dif_674	-2.1800       	-0.7000       	4.1000e+00    	-0.6000       
675		dif_675	-2.1800       	-0.7000       	4.9000e+00    	-0.6000       
676		dif_676	-2.1800       	-0.7000       	5.7000e+00    	-0.6000       
677		dif_677	-2.1800       	-0.7000       	6.5000e+00    	-0.6000       
678		dif_678	-2.1800       	-0.7000       	2.5000e+00    	0.0000        
679		dif_679	-2.1800       	-0.7000       	3.3000e+00    	0.0000        
680		dif_680	-2.1800       	-0.7000       	4.1000e+00    	0.0000        
681		dif_681	-2.1800       	-0.7000       	4.9000e+00    	0.0000        
682		dif_682	-2.1800       	-0.7000       	5.7000e+00    	0.0000        
683		dif_683	-2.1800       	-0.7000       	6.5000e+00    	0.0000        
684		dif_684	-2.1800       	-0.4000       	2.5000e+00    	-3.0000       
685		dif_685	-2.1800       	-0.4000       	3.3000e+00    	-3.0000       
686		dif_686	-2.1800       	-0.4000       	4.1000e+00    	-3.0000       
687		dif_687	-2.1800       	-0.4000       	4.9000e+00    	-3.0000       
688		dif_688	-2.1800       	-0.4000       	5.7000e+00    	-3.0000       
689		dif_689	-2.1800       	-0.4000       	6.5000e+00    	-3.0000       
690		dif_690	-2.1800       	-0.4000       	2.5000e+00    	-2.4000       
691		dif_691	-2.1800       	-0.4000       	3.3000e+00    	-2.4000       
692		dif_692	-2.1800       	-0.4000       	4.1000e+00    	-2.4000       
693		dif_693	-2.1800       	-0.4000       	4.9000e+00    	-2.4000       
694		dif_694	-2.1800       	-0.4000       	5.7000e+00    	-2.4000       
695		dif_695	-2.1800       	-0.4000       	6.5000e+00    	-2.4000       
696		dif_696	-2.1800       	-0.4000       	2.5000e+00    	-1.8000       
697		dif_697	-2.1800       	-0.4000       	3.3000e+00    	-1.8000       
698		dif_698	-2.1800       	-0.4000       	4.1000e+00    	-1.8000       
699		dif_699	-2.1800       	-0.4000       	4.9000e+00    	-1.8000       
700		dif_700	-2.1800       	-0.4000       	5.7000e+00    	-1.8000       
701		dif_701	-2.1800       	-0.4000       	6.5000e+00    	-1.8000       
702		dif_702	-2.1800       	-0.4000       	2.5000e+00    	-1.2000       
703		dif_703	-2.1800       	-0.4000       	3.3000e+00    	-1.2000       
704		dif_704	-2.1800       	-0.4000       	4.1000e+00    	-1.2000       
705		dif_705	-2.1800       	-0.4000       	4.9000e+00    	-1.2000       
706		dif_706	-2.1800       	-0.4000       	5.7000e+00    	-1.2000       
707		dif_707	-2.1800       	-0.4000       	6.5000e+00    	-1.2000       
708		dif_708	-2.1800       	-0.4000       	2.5000e+00    	-0.6000       
709		dif_709	-2.1800       	-0.4000       	3.3000e+00    	-0.6000       
710		dif_710	-2.1800       	-0.4000       	4.1000e+00    	-0.6000       
711		dif_711	-2.1800       	-0.4000       	4.9000e+00    	-0.6000       
712		dif_712	-2.1800       	-0.4000       	5.7000e+00    	-0.6000       
713		dif_713	-2.1800       	-0.4000       	6.5000e+00    	-0.6000       
714		dif_714	-2.1800       	-0.4000       	2.5000e+00    	0.0000        
715		dif_715	-2.1800       	-0.4000       	3.3000e+00    	0.0000        
716		dif_716	-2.1800       	-0.4000       	4.1000e+00    	0.0000        
717		dif_717	-2.1800       	-0.4000       	4.9000e+00    	0.0000        
718		dif_718	-2.1800       	-0.4000       	5.7000e+00    	0.0000        
719		dif_719	-2.1800       	-0.4000       	6.5000e+00    	0.0000        
720		dif_720	-2.1800       	-0.1000       	2.5000e+00    	-3.0000       
721		dif_721	-2.1800       	-0.1000       	3.3000e+00    	-3.0000       
722		dif_722	-2.1800       	-0.1000       	4.1000e+00    	-3.0000       
723		dif_723	-2.1800       	-0.1000       	4.9000e+00    	-3.0000       
724		dif_724	-2.1800       	-0.1000       	5.7000e+00    	-3.0000       
725		dif_725	-2.1800       	-0.1000       	6.5000e+00    	-3.0000       
726		dif_726	-2.1800       	-0.1000       	2.5000e+00    	-2.4000       
727		dif_727	-2.1800       	-0.1000       	3.3000e+00    	-2.4000       
728		dif_728	-2.1800       	-0.1000       	4.1000e+00    	-2.4000       
729		dif_729	-2.1800       	-0.1000       	4.9000e+00    	-2.4000       
730		dif_730	-2.1800       	-0.1000       	5.7000e+00    	-2.4000       
731		dif_731	-2.1800       	-0.1000       	6.5000e+00    	-2.4000       
732		dif_732	-2.1800       	-0.1000       	2.5000e+00    	-1.8000       
733		dif_733	-2.1800       	-0.1000       	3.3000e+00    	-1.8000       
734		dif_734	-2.1800       	-0.1000       	4.1000e+00    	-1.8000       
735		dif_735	-2.1800       	-0.1000       	4.9000e+00    	-1.8000       
736		dif_736	-2.1800       	-0.1000       	5.7000e+00    	-1.8000       
737		dif_737	-2.1800       	-0.1000       	6.5000e+00    	-1.8000       
738		dif_738	-2.1800       	-0.1000       	2.5000e+00    	-1.2000       
739		dif_739	-2.1800       	-0.1000       	3.3000e+00    	-1.2000       
740		dif_740	-2.1800       	-0.1000       	4.1000e+00    	-1.2000       
741		dif_741	-2.1800       	-0.1000       	4.9000e+00    	-1.2000       
742		dif_742	-2.1800       	-0.1000       	5.7000e+00    	-1.2000       
743		dif_743	-2.1800       	-0.1000       	6.5000e+00    	-1.2000       
744		dif_744	-2.1800       	-0.1000       	2.5000e+00    	-0.6000       
745		dif_745	-2.1800       	-0.1000       	3.3000e+00    	-0.6000       
746		dif_746	-2.1800       	-0.1000       	4.1000e+00    	-0.6000       
747		dif_747	-2.1800       	-0.1000       	4.9000e+00    	-0.6000       
748		dif_748	-2.1800       	-0.1000       	5.7000e+00    	-0.6000       
749		dif_749	-2.1800       	-0.1000       	6.5000e+00    	-0.6000       
750		dif_750	-2.1800       	-0.1000       	2.5000e+00    	0.0000        
751		dif_751	-2.1800       	-0.1000       	3.3000e+00    	0.0000        
752		dif_752	-2.1800       	-0.1000       	4.1000e+00    	0.0000        
753		dif_753	-2.1800       	-0.1000       	4.9000e+00    	0.0000        
754		dif_754	-2.1800       	-0.1000       	5.7000e+00    	0.0000        
755		dif_755	-2.1800       	-0.1000       	6.5000e+00    	0.0000        
756		dif_756	-2.1800       	0.2000        	2.5000e+00    	-3.0000       
757		dif_757	-2.1800       	0.2000        	3.3000e+00    	-3.0000       
758		dif_758	-2.1800       	0.2000        	4.1000e+00    	-3.0000       
