# Number	log Mgmc [Msun]	FUV [x local]	CRs [s^-1]	Z [solar]		Rgmc [pc]	P_ext [K cm^-3]
57 		4.1000        	-4.1000       	 -2.0623e+01   	 -2.8000e-01    1.6550         6.4000        
58 		4.1000        	-4.1000       	 -2.0623e+01   	 -2.8000e-01    0.5872         8.2000        
59 		4.1000        	-4.1000       	 -2.0623e+01   	 -2.8000e-01    0.2084         10.0000       
60 		4.1000        	-4.1000       	 -2.0623e+01   	 -4.0000e-02    37.0511        1.0000        
61 		4.1000        	-4.1000       	 -2.0623e+01   	 -4.0000e-02    13.1462        2.8000        
62 		4.1000        	-4.1000       	 -2.0623e+01   	 -4.0000e-02    4.6645         4.6000        
63 		4.1000        	-4.1000       	 -2.0623e+01   	 -4.0000e-02    1.6550         6.4000        
64 		4.1000        	-4.1000       	 -2.0623e+01   	 -4.0000e-02    0.5872         8.2000        
65 		4.1000        	-4.1000       	 -2.0623e+01   	 -4.0000e-02    0.2084         10.0000       
66 		4.1000        	-4.1000       	 -2.0623e+01   	 2.0000e-01     37.0511        1.0000        
67 		4.1000        	-4.1000       	 -2.0623e+01   	 2.0000e-01     13.1462        2.8000        
68 		4.1000        	-4.1000       	 -2.0623e+01   	 2.0000e-01     4.6645         4.6000        
69 		4.1000        	-4.1000       	 -2.0623e+01   	 2.0000e-01     1.6550         6.4000        
70 		4.1000        	-4.1000       	 -2.0623e+01   	 2.0000e-01     0.5872         8.2000        
71 		4.1000        	-4.1000       	 -2.0623e+01   	 2.0000e-01     0.2084         10.0000       
72 		4.1000        	-2.2000       	 -1.8723e+01   	 -1.0000e+00    37.0511        1.0000        
73 		4.1000        	-2.2000       	 -1.8723e+01   	 -1.0000e+00    13.1462        2.8000        
74 		4.1000        	-2.2000       	 -1.8723e+01   	 -1.0000e+00    4.6645         4.6000        
75 		4.1000        	-2.2000       	 -1.8723e+01   	 -1.0000e+00    1.6550         6.4000        
76 		4.1000        	-2.2000       	 -1.8723e+01   	 -1.0000e+00    0.5872         8.2000        
77 		4.1000        	-2.2000       	 -1.8723e+01   	 -1.0000e+00    0.2084         10.0000       
78 		4.1000        	-2.2000       	 -1.8723e+01   	 -7.6000e-01    37.0511        1.0000        
79 		4.1000        	-2.2000       	 -1.8723e+01   	 -7.6000e-01    13.1462        2.8000        
80 		4.1000        	-2.2000       	 -1.8723e+01   	 -7.6000e-01    4.6645         4.6000        
81 		4.1000        	-2.2000       	 -1.8723e+01   	 -7.6000e-01    1.6550         6.4000        
82 		4.1000        	-2.2000       	 -1.8723e+01   	 -7.6000e-01    0.5872         8.2000        
